params,val_loss
"(512, 4096, 64, 1, 8193, 2, 0.1, 1e-05)",4.840791622797648
"(512, 4096, 64, 1, 8193, 2, 0.1, 1e-05)",4.840625047683716
"(512, 4096, 64, 1, 8193, 2, 0.1, 1e-05)",4.839337721467018
"(512, 4096, 64, 1, 8193, 2, 0.1, 1e-05)",4.838830212752025
"(512, 4096, 64, 1, 8193, 2, 0.1, 1e-05)",4.838120838006337
"(512, 4096, 64, 1, 8193, 2, 0.1, 1e-05)",4.837349027395248
"(512, 4096, 64, 1, 8193, 2, 0.1, 1e-05)",4.836640035112699
"(512, 4096, 64, 1, 8193, 2, 0.1, 1e-05)",4.835973213116328
"(512, 4096, 64, 1, 8193, 2, 0.1, 1e-05)",4.835334589083989
"(512, 4096, 64, 1, 8193, 2, 0.1, 0.0001)",4.838547428448995
"(512, 4096, 64, 1, 8193, 2, 0.1, 0.0001)",4.83096977074941
"(512, 4096, 64, 1, 8193, 2, 0.1, 0.0001)",4.825237269202868
"(512, 4096, 64, 1, 8193, 2, 0.1, 0.0001)",4.821603740255038
"(512, 4096, 64, 1, 8193, 2, 0.1, 0.0001)",4.866831064224243
"(512, 4096, 64, 1, 8193, 2, 0.1, 0.0001)",214.46985816955566
